,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
634,130837,Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE,19958,,59.0,,
635,130873,Dawn Career Institute LLC,Newark,DE,19702,,108.0,,
636,130907,Delaware Technical Community College-Terry,Dover,DE,19901,,12408.0,4848.0,
637,130934,Delaware State University,Dover,DE,19901,0.4518,3678.0,7868.0,
638,130943,University of Delaware,Newark,DE,19716,0.6289,18948.0,13160.0,
639,130989,Goldey-Beacom College,Wilmington,DE,19808,0.5177,770.0,23850.0,
640,131061,Schilling-Douglas School of Hair Design LLC,Newark,DE,19711,,133.0,,
641,131098,Wesley College,Dover,DE,19901-3875,0.6151,1342.0,26406.0,
642,131113,Wilmington University,New Castle,DE,19720,,8346.0,10940.0,
643,131159,American University,Washington,DC,20016-8001,0.294,7433.0,46615.0,
644,131283,The Catholic University of America,Washington,DC,20064,0.8258,3284.0,44060.0,
645,131399,University of the District of Columbia,Washington,DC,20008,,3606.0,5756.0,
646,131405,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC,20017-1585,,,,
647,131450,Gallaudet University,Washington,DC,20002-3695,0.5901,1111.0,16558.0,
648,131469,George Washington University,Washington,DC,20052,0.4098,11718.0,53518.0,
649,131496,Georgetown University,Washington,DC,20057-0001,0.1568,7128.0,52300.0,
650,131520,Howard University,Washington,DC,20059-0001,0.4142,6276.0,25697.0,
651,131803,Strayer University-District of Columbia,Washington,DC,20005,,687.0,13857.0,
652,131830,National Conservatory of Dramatic Arts,Washington,DC,20007,1.0,32.0,9900.0,
653,131876,Trinity Washington University,Washington,DC,20017-1094,0.9228,1498.0,23690.0,
654,131973,Wesley Theological Seminary,Washington,DC,20016-5690,,,,
1446,161651,Aesthetics Institute of Cosmetology,Gaithersburg,MD,20877,,25.0,,
1447,161688,Allegany College of Maryland,Cumberland,MD,21502-2596,,1990.0,3940.0,
1448,161767,Anne Arundel Community College,Arnold,MD,21012-1895,,11294.0,4646.0,
1449,161776,Brightwood College-Towson,Towson,MD,21286-2201,,309.0,,
1450,161800,Award Beauty School,Hagerstown,MD,21740-5610,,157.0,,
1451,161855,Baltimore Studio of Hair Design,Baltimore,MD,21201-3444,,46.0,,
1452,161864,Baltimore City Community College,Baltimore,MD,21215-7893,,3797.0,3074.0,
1453,161873,University of Baltimore,Baltimore,MD,21201-5720,0.8099,2856.0,8824.0,
1454,162007,Bowie State University,Bowie,MD,20715-9465,0.36,5107.0,8064.0,
1455,162061,Capitol Technology University,Laurel,MD,20708,0.7473,421.0,24788.0,
1456,162104,Cecil College,North East,MD,21901-1900,,2112.0,4005.0,
1457,162122,College of Southern Maryland,La Plata,MD,20646-0910,,6699.0,3690.0,
1458,162168,Chesapeake College,Wye Mills,MD,21679-0008,,1744.0,3818.0,
1459,162210,Washington Adventist University,Takoma Park,MD,20912,0.6139,750.0,23400.0,
1460,162283,Coppin State University,Baltimore,MD,21216-3698,0.3651,2459.0,7474.0,
1461,162335,Delmarva Beauty Academy,Salisbury,MD,21804-6952,,51.0,,
1462,162371,North American Trade Schools,Baltimore,MD,21244,,448.0,,
1463,162557,Frederick Community College,Frederick,MD,21702-2964,,4830.0,3520.0,
1464,162584,Frostburg State University,Frostburg,MD,21532-1099,0.7229,4486.0,8914.0,
1465,162609,Garrett College,McHenry,MD,21541,,532.0,3948.0,
1466,162654,Goucher College,Baltimore,MD,21204-2794,0.7884,1526.0,43440.0,
1467,162681,Purdue University Global-Hagerstown,Hagerstown,MD,21742,,470.0,14263.0,
1468,162690,Hagerstown Community College,Hagerstown,MD,21742-6514,,3181.0,3616.0,
1469,162706,Harford Community College,Bel Air,MD,21015-1698,,5018.0,3643.0,
1470,162760,Hood College,Frederick,MD,21701,0.8113,1108.0,37960.0,
1471,162779,Howard Community College,Columbia,MD,21044-3197,,8943.0,3888.0,
1472,162830,Aveda Institute-Maryland,Bel Air,MD,21014-3639,,37.0,,
1473,162928,Johns Hopkins University,Baltimore,MD,21218-2688,0.1254,5663.0,52170.0,
1474,163028,Lincoln College of Technology-Columbia,Columbia,MD,21046,,569.0,,
1475,163046,Loyola University Maryland,Baltimore,MD,21210-2699,0.7528,3903.0,47560.0,
1476,163204,University of Maryland Global Campus,Adelphi,MD,20783-8010,,42289.0,7296.0,
1477,163259,University of Maryland Baltimore,Baltimore,MD,21201-1627,,918.0,,
1478,163268,University of Maryland-Baltimore County,Baltimore,MD,21250,0.6021,11130.0,11518.0,
1479,163286,University of Maryland-College Park,College Park,MD,20742,0.445,29273.0,10399.0,
1480,163295,Maryland Institute College of Art,Baltimore,MD,21217-4134,0.6161,1743.0,46990.0,
1481,163338,University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,0.3901,2799.0,8042.0,
1482,163347,Fortis Institute-Towson,Towson,MD,21204-9840,,412.0,,
1483,163408,Montgomery Beauty School,Silver Spring,MD,20901,,120.0,,
1484,163426,Montgomery College,Rockville,MD,20850,,18915.0,4974.0,
1485,163453,Morgan State University,Baltimore,MD,21251-0001,0.6372,6426.0,7766.0,
1486,163462,Mount St. Mary's University,Emmitsburg,MD,21727-7799,0.6423,1785.0,40550.0,
1487,163532,Ner Israel Rabbinical College,Baltimore,MD,21208,0.6418,265.0,11900.0,
1488,163541,Hair Academy Inc-New Carrollton,New Carrollton,MD,20784,,447.0,,
1489,163578,Notre Dame of Maryland University,Baltimore,MD,21210-2476,0.7140000000000001,808.0,36070.0,
1490,163657,Prince George's Community College,Largo,MD,20774-2199,,10743.0,3770.0,
1491,163736,Brightwood College-Baltimore,Baltimore,MD,21227-1063,,452.0,,
1492,163754,Robert Paul Academy of Cosmetology Arts & Sciences,Timonium,MD,21093,,26.0,,
1493,163815,Maryland Beauty Academy of Essex,Baltimore,MD,21224,,80.0,,
1494,163851,Salisbury University,Salisbury,MD,21801-6862,0.6502,7552.0,9582.0,
1495,163912,St. Mary's College of Maryland,St. Mary's City,MD,20686,0.8242,1519.0,14496.0,
1496,163976,St. John's College,Annapolis,MD,21401,0.5445,458.0,51795.0,
1497,164058,Brightwood College-Beltsville,Beltsville,MD,20705,,529.0,,
1498,164076,Towson University,Towson,MD,21252-0001,0.773,19367.0,9694.0,
1499,164085,Maryland University of Integrative Health,Laurel,MD,20723,,,,
1500,164155,United States Naval Academy,Annapolis,MD,21402-5000,0.0844,4495.0,,
1501,164173,Stevenson University,Stevenson,MD,21153-0641,0.6087,3375.0,35490.0,
1502,164216,Washington College,Chestertown,MD,21620-1438,0.5871,1449.0,44820.0,
1503,164270,McDaniel College,Westminster,MD,21157,0.85,1559.0,41800.0,
1504,164313,Wor-Wic Community College,Salisbury,MD,21804-7131,,2652.0,3000.0,
2933,210474,Jolie Hair and Beauty Academy-Hazleton,Hazleton,PA,18201,,61.0,,
2934,210492,Bryn Athyn College of the New Church,Bryn Athyn,PA,19009-0711,0.8755,323.0,21126.0,
2935,210508,Academy of Vocal Arts,Philadelphia,PA,19103-6685,,,,
2936,210571,Albright College,Reading,PA,19612-5234,0.5004,1999.0,43454.0,
2937,210599,All-State Career School,Essington,PA,19029,,306.0,,
2938,210605,Community College of Allegheny County,Pittsburgh,PA,15233-1895,,14804.0,4198.0,
2939,210669,Allegheny College,Meadville,PA,16335-3902,0.6789,1764.0,45970.0,
2940,210711,The  Beauty Institute,Allentown,PA,18109-1629,,28.0,,
2941,210739,DeSales University,Center Valley,PA,18034-9568,0.7379,2291.0,35900.0,
2942,210748,Altoona Beauty School Inc,Altoona,PA,16602-6039,,53.0,,
2943,210775,Alvernia University,Reading,PA,19607-1799,0.7081,2231.0,33640.0,
2944,210784,The Beauty Institute-Ambler,Ambler,PA,19002,,115.0,,
2945,210809,American College of Financial Services,King of Prussia,PA,19406,,8354.0,,
2946,210890,Antonelli Institute,Erdenheim,PA,19038-8242,,71.0,19890.0,
2947,210942,The Art Institute of Philadelphia,Philadelphia,PA,19103-5198,,842.0,17914.0,
2948,210951,Career Training Academy-Lower Burrell,Lower Burrell,PA,15068,,130.0,,
2949,210960,The Art Institute of Pittsburgh,Pittsburgh,PA,15222,,431.0,17626.0,
2950,211006,Automotive Training Center-Exton,Exton,PA,19341-1310,,304.0,,
2951,211024,Clarks Summit University,South Abington Township,PA,18411-1250,0.5508,498.0,23890.0,
2952,211079,Community College of Beaver County,Monaca,PA,15061-2588,,1768.0,5880.0,
2953,211088,Arcadia University,Glenside,PA,19038-3295,0.6229,2233.0,42330.0,
2954,211130,Missio Theological Seminary,Philadelphia,PA,19123,,,,
2955,211149,Bidwell Training Center Inc,Pittsburgh,PA,15233,0.8529,141.0,,
2956,211158,Bloomsburg University of Pennsylvania,Bloomsburg,PA,17815,0.7325,8276.0,10500.0,
2957,211200,Bradford School,Pittsburgh,PA,15219,0.9054,352.0,15380.0,
2958,211273,Bryn Mawr College,Bryn Mawr,PA,19010,0.3801,1328.0,50500.0,
2959,211291,Bucknell University,Lewisburg,PA,17837,0.3108,3588.0,53986.0,
2960,211307,Bucks County Community College,Newtown,PA,18940-4106,,7257.0,4418.0,
2961,211316,Bucks County School of Beauty Culture Inc,Feasterville,PA,19053-7368,,72.0,,
2962,211334,Butler Beauty Academy,Butler,PA,16001,,20.0,,
2963,211343,Butler County Community College,Butler,PA,16002,,2803.0,4800.0,
2964,211352,Cabrini University,Radnor,PA,19087-3698,0.7321,1536.0,31350.0,
2965,211361,California University of Pennsylvania,California,PA,15419-1394,0.961,5435.0,10840.0,
2966,211431,Carlow University,Pittsburgh,PA,15213-3165,0.9164,1339.0,28596.0,
2967,211440,Carnegie Mellon University,Pittsburgh,PA,15213-3890,0.222,6434.0,53910.0,
2968,211468,Cedar Crest College,Allentown,PA,18104-6196,0.6333,1413.0,38092.0,
2969,211477,Central Penn College,Summerdale,PA,17093-0309,0.789,1188.0,18174.0,
2970,211556,Chatham University,Pittsburgh,PA,15232,0.5455,981.0,36510.0,
2971,211583,Chestnut Hill College,Philadelphia,PA,19118-2693,0.9572,1317.0,35180.0,
2972,211608,Cheyney University of Pennsylvania,Cheyney,PA,19319-0200,,722.0,12104.0,
2973,211617,Brightwood Career Institute-Philadelphia Mills,Philadelphia,PA,19154,,586.0,,
2974,211635,Citizens School of Nursing,Tarentum,PA,15084,0.0,158.0,,
2975,211644,Clarion University of Pennsylvania,Clarion,PA,16214,0.9549,4214.0,10890.0,
2976,211802,DLP Conemaugh Memorial Medical Center,Johnstown,PA,15905-4398,0.8913,228.0,,
2977,211820,Consolidated School of Business-York,York,PA,17404,,114.0,,
2978,211893,Curtis Institute of Music,Philadelphia,PA,19103,0.033,131.0,2675.0,
2979,211909,Dean Institute of Technology,Pittsburgh,PA,15226-1197,,151.0,14550.0,
2980,211927,Delaware County Community College,Media,PA,19063-1094,,11030.0,5291.0,
2981,211981,Delaware Valley University,Doylestown,PA,18901-2697,0.664,1908.0,38000.0,
2982,212009,Dickinson College,Carlisle,PA,17013-2896,0.4871,2339.0,52955.0,
2983,212018,Pennsylvania State University-Dickinson Law,Carlisle,PA,17013-2861,,,,
2984,212045,Douglas Education Center,Monessen,PA,15062,,229.0,16029.0,
2985,212054,Drexel University,Philadelphia,PA,19104,0.7904,15335.0,52002.0,
2986,212106,Duquesne University,Pittsburgh,PA,15282,0.7170000000000001,5930.0,36394.0,
2987,212115,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18301-2999,0.8356,5972.0,10098.0,
2988,212133,Eastern University,Saint Davids,PA,19087-3696,0.6561,1837.0,32145.0,
2989,212160,Edinboro University of Pennsylvania,Edinboro,PA,16444-0001,0.9253,4229.0,10282.0,
2990,212197,Elizabethtown College,Elizabethtown,PA,17022-2298,0.7402,1647.0,45350.0,
2991,212230,Empire Beauty School-Lebanon,Lebanon,PA,17042,,41.0,,
2992,212267,Empire Beauty School-York,York,PA,17402,,84.0,,
2993,212276,Empire Beauty School-Lancaster,Lancaster,PA,17603,,78.0,,
2994,212294,Empire Beauty School-Shamokin Dam,Shamokin Dam,PA,17876,,46.0,,
2995,212300,Empire Beauty School-Pottsville,Pottsville,PA,17901,,52.0,,
2996,212328,Empire Beauty  School-Lehigh Valley,Whitehall,PA,18052,,103.0,,
2998,212355,Empire Beauty School-Wyoming Valley,Moosic,PA,18507,,141.0,,
2999,212373,Empire Beauty School-Warminster,Warminster,PA,18974,,28.0,,
3000,212382,Empire Beauty School-Harrisburg,Harrisburg,PA,17109,,123.0,,
3001,212391,Empire Beauty School-Reading,Reading,PA,19605,,119.0,,
3002,212434,Erie Institute of Technology Inc,Erie,PA,16565,,295.0,13770.0,
3003,212443,Evangelical Theological Seminary,Myerstown,PA,17067-1222,,,,
3004,212452,Faith Theological Seminary,Baltimore,MD,21212-2624,1.0,66.0,5870.0,
3005,212568,Aria Health School of Nursing,Trevose,PA,19053-6939,,200.0,18585.0,
3006,212577,Franklin and Marshall College,Lancaster,PA,17604-3003,0.3411,2269.0,54380.0,
3007,212601,Gannon University,Erie,PA,16541-0001,0.799,2616.0,30932.0,
3008,212656,Geneva College,Beaver Falls,PA,15010-3599,0.6901,1330.0,26070.0,
3009,212674,Gettysburg College,Gettysburg,PA,17325,0.45799999999999996,2411.0,52640.0,
3010,212753,Empire Beauty School-NE Philadelphia,Philadelphia,PA,19154,,144.0,,
3011,212771,Gratz College,Melrose Park,PA,19027-3010,,47.0,,
3012,212805,Grove City College,Grove City,PA,16127-2104,0.7987,2327.0,17254.0,
3013,212832,Gwynedd Mercy University,Gwynedd Valley,PA,19437-0901,0.9377,1987.0,33600.0,
3014,212869,Harcum College,Bryn Mawr,PA,19010-3470,,1436.0,23670.0,
3015,212878,Harrisburg Area Community College,Harrisburg,PA,17110-2999,,15968.0,6473.0,
3016,212911,Haverford College,Haverford,PA,19041-1392,0.2005,1291.0,52994.0,
3017,212975,Commonwealth Technical Institute,Johnstown,PA,15905-3092,,183.0,16836.0,
3018,212984,Holy Family University,Philadelphia,PA,19114-2009,0.7075,1904.0,30346.0,
3019,212993,Hussian College School of Art,Philadelphia,PA,19130,0.6939,52.0,19650.0,
3020,213002,Brightwood Career Institute-Pittsburgh,Pittsburgh,PA,15222,,250.0,,
3021,213011,Immaculata University,Immaculata,PA,19345,0.8294,1383.0,27350.0,
3022,213020,Indiana University of Pennsylvania-Main Campus,Indiana,PA,15705-1098,0.9082,9965.0,12119.0,
3023,213163,UPMC Jameson School of Nursing,New Castle,PA,16105,,46.0,10781.0,
3024,213181,Great Lakes Institute of Technology,Erie,PA,16509-2482,0.7593,396.0,,
3025,213215,Jolie Hair and Beauty Academy-Wilkes-Barre,Wilkes Barre,PA,18702,,169.0,,
3026,213233,Johnson College,Scranton,PA,18508-1495,0.9644,446.0,18567.0,
3027,213251,Juniata College,Huntingdon,PA,16652-2196,0.7077,1371.0,43875.0,
3028,213303,Keystone College,La Plume,PA,18440-0200,0.9440000000000001,1274.0,26670.0,
3029,213321,King's College,Wilkes-Barre,PA,18711-0801,0.7092,2065.0,35830.0,
3030,213330,Butler Beauty Academy-Kittanning Beauty Academy,Kittanning,PA,16201,,8.0,,
3031,213349,Kutztown University of Pennsylvania,Kutztown,PA,19530-0730,0.8314,7443.0,9987.0,
3032,213358,La Roche University,Pittsburgh,PA,15237-5898,0.9657,1312.0,27720.0,
3033,213367,La Salle University,Philadelphia,PA,19141-1199,0.7927,3708.0,29500.0,
3034,213376,Lackawanna College,Scranton,PA,18509-3206,,1506.0,15160.0,
3035,213385,Lafayette College,Easton,PA,18042-1768,0.3081,2567.0,51600.0,
3036,213400,Lancaster Bible College,Lancaster,PA,17601-5036,0.7181,1504.0,22580.0,
3037,213446,Lancaster Theological Seminary,Lancaster,PA,17603-2897,,,,
3038,213455,Lancaster School of Cosmetology & Therapeutic Bodywork,Lancaster,PA,17602,,185.0,,
3039,213473,Lansdale School of Business,North Wales,PA,19454-4114,,163.0,10800.0,
3040,213491,Lansdale School of Cosmetology Inc,Lansdale,PA,19446-2003,,53.0,,
3041,213507,Lebanon Valley College,Annville,PA,17003-1400,0.73,1658.0,42180.0,
3042,213525,Lehigh Carbon Community College,Schnecksville,PA,18078-2598,,5588.0,3990.0,
3043,213534,Platt College-Berks Technical Institute,Wyomissing,PA,19610-1168,,724.0,11260.0,
3044,213543,Lehigh University,Bethlehem,PA,18015,0.2515,5057.0,50740.0,
3045,213552,Levittown Beauty Academy,Levittown,PA,19054,,91.0,,
3046,213570,Lincoln Technical Institute-Allentown,Allentown,PA,18104-9889,,444.0,,
3047,213589,Lincoln Technical Institute-Philadelphia,Philadelphia,PA,19136,,246.0,,
3048,213598,Lincoln University,Lincoln University,PA,19352-0999,0.7968,1994.0,11379.0,
3049,213613,Lock Haven University,Lock Haven,PA,17745-2390,0.8904,3425.0,10576.0,
3050,213622,St Margaret School of Nursing,Pittsburgh,PA,15238-3250,0.5714,92.0,15315.0,
3051,213631,United Lutheran Seminary,Gettysburg,PA,17325-1795,,,,
3052,213659,Luzerne County Community College,Nanticoke,PA,18634-3899,,4758.0,5160.0,
3053,213668,Lycoming College,Williamsport,PA,17701-5192,0.6403,1192.0,38618.0,
3054,213774,Manor College,Jenkintown,PA,19046-3399,0.9255,602.0,17029.0,
3055,213783,Mansfield University of Pennsylvania,Mansfield,PA,16933,0.8919,1770.0,12316.0,
3056,213826,Marywood University,Scranton,PA,18509-1598,0.7512,1835.0,33940.0,
3057,213871,McCann School of Business & Technology,Hazle Township,PA,18202,,168.0,11292.0,
3058,213914,Vet Tech Institute,Pittsburgh,PA,15222-3400,,343.0,14980.0,
3059,213932,Roxborough Memorial Hospital School of Nursing,Philadelphia,PA,19128,,142.0,,
3060,213987,Mercyhurst University,Erie,PA,16546,0.6992,2448.0,36320.0,
3061,213996,Messiah College,Mechanicsburg,PA,17055,0.7701,2670.0,34160.0,
3062,214023,The Workforce Institute's City College,Philadelphia,PA,19140-2302,1.0,21.0,12097.0,
3063,214041,Millersville University of Pennsylvania,Millersville,PA,17551-0302,0.7949,6613.0,11858.0,
3064,214069,Misericordia University,Dallas,PA,18612-1098,0.7879,2100.0,31660.0,
3065,214111,Montgomery County Community College,Blue Bell,PA,19422-0796,,8948.0,5730.0,
3066,214148,Moore College of Art and Design,Philadelphia,PA,19103-1179,0.5407,373.0,39833.0,
3067,214157,Moravian College,Bethlehem,PA,18018-6650,0.7597,2007.0,42024.0,
3068,214166,Mount Aloysius College,Cresson,PA,16630-1999,0.9107,1185.0,22430.0,
3069,214175,Muhlenberg College,Allentown,PA,18104,0.4836,2329.0,50830.0,
3070,214254,Brightwood Career Institute-Philadelphia,Philadelphia,PA,19104,,421.0,,
3071,214272,Neumann University,Aston,PA,19014-1298,0.9628,1997.0,30050.0,
3072,214290,New Castle School of Trades,New Castle,PA,16101,1.0,763.0,,
3073,214379,Northampton County Area Community College,Bethlehem,PA,18020-7599,,9203.0,4230.0,
3074,214476,Ohio Valley Hospital School of Nursing,McKees Rocks,PA,15136,0.8,76.0,16300.0,
3075,214528,Orleans Technical College,Philadelphia,PA,19114-1014,0.5728,289.0,,
3076,214564,Salus University,Elkins Park,PA,19027-6262,,,,
3077,214582,Pennsylvania Institute of Technology,Media,PA,19063-4098,,447.0,13230.0,
3078,214591,Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,16563-0001,0.8891,4283.0,15190.0,
3079,214607,Pennsylvania State University-Penn State Great Valley,Malvern,PA,19355-1488,,,,
3080,214616,Pennsylvania State University-College of Medicine,Hershey,PA,17033-2360,,,,
3081,214625,Pennsylvania State University-Penn State New Kensington,New Kensington,PA,15068-1765,0.7676,573.0,13694.0,
3082,214634,Pennsylvania State University-Penn State Shenango,Sharon,PA,16146-1537,0.7428,345.0,13324.0,
3083,214643,Pennsylvania State University-Penn State Wilkes-Barre,Lehman,PA,18627-0217,0.8245,404.0,13568.0,
3084,214652,Pennsylvania State University-Penn State Scranton,Dunmore,PA,18512-1602,0.7792,1003.0,14460.0,
3085,214670,Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,18034-8447,0.8534,823.0,14460.0,
3086,214689,Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,0.9225,3451.0,15190.0,
